,Title,Company,Location,Rating,Date,Salary,Description,Links
122,Data Analyst,Industrial Services Solutions,Remote,NaN,PostedPosted 2 days ago,"$55,000 - $65,000 a year","Can identify patterns and relationships in data to build complex data models.
Experience working with disparate data sources and consolidating for reporting…",/company/Industrial-Services-Solutions/jobs/Data-Analyst-be6227ca3820f117?fccid=9823620e899e1aa6&vjs=3
123,Senior Data Analyst,Braintrust,"Remote in San Francisco, CA 94133",4.5,PostedJust posted,$40 - $50 an hour,Comfortable with data wrangling; experience working with data engineers to source and efficiently operationalize new data streams.,/rc/clk?jk=8f66ed2884f4c86b&fccid=cffd065f9ff9e672&vjs=3
124,Training and placement on Business Analyst,"TechIntelli Solutions, Inc.","Hybrid remote in Dallas, TX 75204",5.0,EmployerActive 2 days ago,"$60,000 - $70,000 a year","You will be responsible for gathering, analyzing, and managing requirements and collaborating directly with the client and team to deliver desired outcomes.","/company/TechIntelli-Solutions,-Inc./jobs/Training-Placement-Business-Analyst-ded736fd791b77f4?fccid=79cc34aa0e752cb5&vjs=3"
125,"Associate Analyst, Customer Data (REMOTE)",Abercrombie and Fitch Co.,"Remote in Columbus, OH",3.5,PostedPosted 30+ days ago,"$78,000 - $80,000 a year","Must have attention to detail with a strong focus on analytics.
Ensure that disparate customer marketing projects are linked in terms of data, processes, skills…",/rc/clk?jk=b8a89cf925942964&fccid=05cb80f355ecde16&vjs=3
126,Entry Level Data Analyst,"Swivel Payment Solutions, LLC","New York, NY",NaN,EmployerActive 2 days ago,"$62,063 - $65,095 a year","Monitor data quality and perform data cleansing as needed.
Experience with data visualization tools such as Tableau or Power BI.",/company/Swivel-Payment-Solutions-LLC/jobs/Entry-Level-Data-Analyst-7dc3f913d6d3cfd0?fccid=73358697b054bc26&vjs=3
127,Data Analyst,Conservice,"Chicago, IL 60602 (Loop area)+2 locations",3.4,PostedPosted 1 day ago,NaN,"Work closely with customers to resolve data issues.
Present data analysis reports to internal and external stakeholders.",/rc/clk?jk=97cef07b8811de0b&fccid=291a3275aa8c9387&vjs=3
128,Data Analyst,First American Financial Corporation,"Remote in Santa Ana, CA",3.8,PostedPosted 30+ days ago,"$63,540 - $112,960 a year","Minimum of 3-5 years of total experience, preferably working with public record data.
Extensive experience in data discovery, performing data quality reviews…",/rc/clk?jk=a3051b03b1ca51a1&fccid=9e68c7dc9642eb81&vjs=3
129,Data Insight Analyst,DDI,Remote,3.8,PostedPosted 1 day ago,NaN,"Gain understanding of DDI’s assessment product data structures from current reporting capabilities, and gather data reporting needs from internal stakeholders,…",/rc/clk?jk=c58f0bd4a42a1cce&fccid=8e5262323681d497&vjs=3
130,Data Reporting Analyst - Healthcare,Village Care,Remote,NaN,EmployerActive 11 days ago,"$77,506 - $87,195 a year","You will identify and develop external data sources such as market data, population demographics, industry trends, and national, state and city policy data for…",/rc/clk?jk=55e663ecbba4b448&fccid=4e7cba47f9dfb3fd&vjs=3
131,DTC Data Analyst,Beach House Group,"Remote in El Segundo, CA",NaN,PostedPosted 30 days ago,"$100,000 - $150,000 a year","Conduct data analysis and modeling to identify trends, patterns, and insights in ecommerce data.
Strong analytical skills, with the ability to translate data…",/rc/clk?jk=50ff58aec733a02f&fccid=9f5502bf7140ba66&vjs=3
132,Business Intelligence Analyst,Orchard,"Remote in New York, NY",3.3,PostedPosted 9 days ago,"$80,000 - $95,000 a year","At least 1-4 years of experience in a business intelligence, data analytics, data science or financial analytics role.",/rc/clk?jk=9817bfb185548f93&fccid=2ddbc08fb5c49732&vjs=3
133,Senior Business Analyst,Visvak Solutions,Remote,NaN,EmployerActive 2 days ago,$111 an hour,The position requires a quality-focused and detail-oriented Business Analyst with a demonstrated track record of providing solutions for high-priority business…,/company/Visvak-Solutions/jobs/Senior-Business-Analyst-72e426dd9e8c1dc0?fccid=28223f72559d2e67&vjs=3
134,Product Data Analyst,Concept Art House,Remote,4.0,PostedToday,NaN,Proficiency in querying and analyzing data in data warehouses using SQL and other relevant data analysis tools.,/rc/clk?jk=5aa191128c1fcc74&fccid=34750f070696a53d&vjs=3
135,EHR Data Analyst,"Emerging Tech, LLC",Remote,NaN,PostedPosted 22 days ago,"$100,000 - $120,000 a year","Interpret data, analyze results and provide ongoing data visualization and reports.
Must possess knowledge of appropriate data sources to address the specific…",/rc/clk?jk=346013112fdd72e2&fccid=04a4749f4962308a&vjs=3
136,Data Modeler/Data Analyst (Onsite),AIVantage INC,"Jupiter, FL 33478",NaN,EmployerActive 2 days ago,$71 - $75 an hour,"*Looking for someone with 5-6 years of data modeling experience.
They want to clean all of the data.*.
*Willing to give up to 6 weeks to relocate Will be onsite…",/company/Ai-Vantage/jobs/Data-Modeler-Data-Analyst-20c99e2613f8b403?fccid=3358af1bacc4f421&vjs=3
137,Data Engineer / Data Analyst,"FINSYNC, Inc.",Remote,3.4,EmployerActive 1 day ago,"$120,000 - $170,000 a year","Strong passion for data quality and data governance.
Maintain and extend data pipeline for all data initiatives.
High performance merits high compensation.",/rc/clk?jk=454629d58ec653eb&fccid=01c85add1bd6eb45&vjs=3
138,Data Analyst - REQ 617,"Mitsubishi Electric US, Inc.",Remote,3.6,PostedPosted 30+ days ago,"$76,800 - $105,600 a year","Advocating data literacy and analytics best practices.
Building dashboards and data workflows for enterprise solutions.",/rc/clk?jk=eb4c4842b267a29c&fccid=5c9fd319bc2040d1&vjs=3
139,Data Analyst/Contract with Defense Health Agency,Vision Quest Solutions,Remote,NaN,EmployerActive 1 day ago,"$75,000 - $173,000 a year","Identification of issues/regular quality checks of data.
This candidate will be providing analysis to the DHA in support of ready reliable care.",/company/Vision-Quest-Solutions/jobs/Data-Analyst-Contract-Defense-Health-Agency-5db795905b0a5dc1?fccid=c97adbf2707af138&vjs=3
140,Data Scientist/Data Analyst,ECS Federal,Remote,NaN,PostedPosted 1 day ago,"$90,000 - $100,000 a year","Experience with data standardization and data governance processes.
Do you have experience with data standardization and data governance processes?",/company/ERPi/jobs/Data-Scientist-Data-Analyst-3377557b10c350e9?fccid=f9d7b934feb454be&vjs=3
141,Sr. Data Analyst,Mindful Care,Remote,2.8,PostedPosted 15 days ago,"$80,000 - $115,000 a year",Research and analyze data flow across complex data ecosystem including operational and analytical data platforms.,/rc/clk?jk=c170f58c9685a4c6&fccid=3f64d426595c6cd5&vjs=3
142,Data Analyst,Ray Technosolutions,"Houston, TX 77002 (Downtown area)",NaN,EmployerActive 2 days ago,$45 - $50 an hour,"Minimum of 5 years in an analyst role preferred.
Develop and provide standardized methods for quality assurance and control of data entry and reporting to…",/company/Ray-Technosolutions/jobs/Data-Analyst-78e039930fe80dc9?fccid=51b0541445b23e8d&vjs=3
143,Data Analyst,Rays Technologies,Remote,NaN,EmployerActive 2 days ago,"$90,000 - $110,000 a year","Minimum of five (5) years of practical and functional experience in data extraction, analysis, and/or reporting typically achieved through work as a: business,…",/company/Rays-Technologies/jobs/Data-Analyst-f90d402e2385dba3?fccid=b2c9c4bb0e8511e7&vjs=3
144,Program Analyst (Data Analytics),US Economic Development Administration,"Washington, DC+1 location",NaN,PostedJust posted,"$112,015 - $172,075 a year","Issue data interface, storage and require the application of data management principles, procedures, and tools such as modeling techniques, data backup, data…",/rc/clk?jk=7e6f592262f85ad0&fccid=a01c74f1f8f6026b&vjs=3
145,Data Analyst,Bresatech,"Irving, TX 75039",NaN,EmployerActive 2 days ago,"$120,000 - $135,000 a year","Provide quality assurance of imported data.
Builds data pipelines to prepare aggregated results for dashboards.
Financial/banking Data: 3 years (Required).",/company/Bresatech/jobs/Data-Analyst-67c80aa8fd6518b7?fccid=c9532db6596f021a&vjs=3
146,Data Intelligence Analyst,REVOLVE,"Cerritos, CA 90703",3.6,PostedPosted 28 days ago,"$107,000 - $115,000 a year","Data Acquisition, Develop data set processes.
Prepare data for predictive and forecast modeling.
Deliver ad-hoc/updates to key stakeholders based on analytics &…",/rc/clk?jk=7593abf403e7daa3&fccid=2c04aefbc361fe41&vjs=3
147,Data Analyst (Seattle or US Remote),Remitly,"Remote in Seattle, WA 98101",3.4,PostedPosted 24 days ago,NaN,"Experience with data visualization tools (e.g. Tableau) and data storytelling.
Build data products and produce reports, analyzing drivers of trends and…",/rc/clk?jk=2c2b8b0af62d001d&fccid=76d96f0d43e39574&vjs=3
148,Data Analyst,ConnectiveRx,+2 locationsRemote,2.5,PostedPosted 8 days ago,NaN,"Partner with IT staff to validate data attributes and to assure consistent integration across several data sources.
Develop and maintain relevant documentation.",/rc/clk?jk=76d63794a2ee340e&fccid=f91bc921fa968f78&vjs=3
149,Data Analyst,Sophinea Corporation,"Arlington, VA",NaN,PostedPosted 30+ days ago,NaN,"Manage a repository of re-usable data visualization templates and views.
Ability to use Command Line tools to access and analyze system data.",/rc/clk?jk=2d6617125d538b02&fccid=4c672d2f3da944a1&vjs=3
150,Sr. Data Analyst I,BioCare,Remote,NaN,EmployerActive 2 days ago,"$100,000 - $130,000 a year","Expert in different SQL techniques for data transformation and data analysis.
Analyze complex data elements, extract, filter, and aggregate data through logical…",/company/BioCare/jobs/Senior-Data-Analyst-a5afa55c29125f6a?fccid=71b2a7eacc0e3a8d&vjs=3
151,Junior Data Analyst,General Dynamics Information Technology,Remote in Virginia+2 locations,3.7,PostedPosted 17 days ago,NaN,"Develop stages of a distributed parallel data processing pipelines, which includes but is not limited to processes such as configuring data connections, data…",/rc/clk?jk=c2d2737e15840fab&fccid=11caadcdc98800d4&vjs=3
152,Data Analyst & Dashboard Developer,Impact Genome,Remote,NaN,PostedPosted 3 days ago,"$80,000 - $90,000 a year","Collaborate on additional data activities, including large data set analysis and data cleaning, with a focus on making each client wildly successful.",/rc/clk?jk=ae018891958392b9&fccid=5d442166ed726247&vjs=3
153,Data Analyst- IT (Fully Remote),"Costa Farms, LLC (CBC)","Remote in Miami, FL 33170",NaN,PostedPosted 30+ days ago,NaN,"Implementation of systems to capture business operation data that ensure data quality.
Minimum 2 years of experience with data modeling and data warehousing…",/rc/clk?jk=db819ea86bfad27c&fccid=15d9034d33b215ec&vjs=3
154,Business Analyst - Remote (WFH),Cognitive Medical Systems,"Remote in San Diego, CA 92121",2.5,PostedPosted 30+ days ago,"$80,000 - $85,000 a year","Elicit, elaborate, and document functional and non-functional requirements for a Software as a Service (SaaS) Customer Experience (CX) product.",/rc/clk?jk=e972cefb9e79ddb8&fccid=fd1195587d58ce4d&vjs=3
155,Data Analyst I,Hydromax USA,"Louisville, KY 40299",2.8,PostedPosted 6 days ago,$17 - $18 an hour,"Work with other analysts to problem solve and process all data collection.
Act as a technical resource in the process of quality control and data collection…",/rc/clk?jk=cd4fca73df3361ce&fccid=9aa6be8c5de90ea5&vjs=3
156,Data/Project Analyst,"Harvard Partners, LLP, Trusted Advisors to IT",Remote,3.0,PostedPosted 5 days ago,NaN,"Hight level of accuracy as data will be used and presented at an executive level.
As the Data/Project Analyst, you will use your strong expertise in MS Excel…",/rc/clk?jk=3071b122a2983c89&fccid=b2708d9d49a9be1e&vjs=3
157,COVID-19 Data Analyst,CDC Foundation,Remote in New Mexico+1 location,4.3,PostedPosted 2 days ago,"$72,000 a year","Perform basic data management, data cleaning and statistical analysis using SAS, R, or other statistical programming language on infectious disease data to…",/rc/clk?jk=383233d6adc80a34&fccid=68cab215b8a0c7b8&vjs=3
158,Data Analyst,KEYENCE,"Hybrid remote in Itasca, IL 60143",3.7,EmployerActive 10 days ago,"$135,000 - $140,000 a year","Ability to work with large volume of confidential data.
Generate performance-based incentive compensation reports for sales teams on a monthly and quarterly…",/company/Keyence/jobs/Data-Analyst-eb6a7039cfe223a4?fccid=8d12993b335ad23c&vjs=3
159,Creator Data Analyst - USDS,TikTok,"Hybrid remote in Los Angeles, CA+11 locations",3.4,PostedPosted 2 days ago,"$76,000 - $140,000 a year","Experience with data modeling and working with large-scale data.
Ability to understand and interpret imperfect data.",/rc/clk?jk=7b2bb4ebd4f6e500&fccid=caed318a9335aac0&vjs=3
160,Data Analyst,Geode Capital Management,"Hybrid remote in Boston, MA 02110",NaN,PostedPosted 22 days ago,NaN,"Serve as operational data steward for a set of data assets.
Identifying possible data issues is a high priority.
Ask questions and look for anomalies.",/rc/clk?jk=33a0a223f8a32d58&fccid=4b090946b9830447&vjs=3
161,Data Analyst,GC America Inc.,"Alsip, IL 60803",2.6,EmployerActive 3 days ago,"From $65,000 a year","Perform monthly business tasks (such as sales commission calculation, dealer special discount, 3rd party dealer data loads) by utilizing BW and SQL; Clean up/…",/company/GC-AMERICA/jobs/Data-Analyst-f1d20d91c48a1503?fccid=f4bbe3a46c0c4ddb&vjs=3
162,Data Analyst,Pop Acta,"Fort Collins, CO 80553",NaN,PostedPosted 24 days ago,"$70,000 - $125,000 a year","RDBMS for structured data like MySQL and data normalization forms.
Loading external data updates and reports into internal analytical databases.",/rc/clk?jk=d52fe6f4d0b467f7&fccid=421c8f5296e9e065&vjs=3
163,Data Analyst,Technocore360,"Orlando, FL 32801 (Lake Cherokee area)",NaN,EmployerActive 2 days ago,$40 an hour,"Familiar with a data warehouse / data mart OLAP environment leveraging data in star schemas, snowflake schemas, and similar data structures.",/company/Technocore360/jobs/Data-Analyst-358716eb18e106b9?fccid=3cedb9a5e8abcf11&vjs=3
164,"Data Analyst, TBM",PayPal,"Scottsdale, AZ",3.9,PostedPosted 8 days ago,NaN,"Work with data owners to identify and analyze key data sets to ensure data is accurate, useful, and received in a timely manner.",/rc/clk?jk=bc97e559fccbb4ee&fccid=978d9fd9799d55a8&vjs=3
165,Business Data Analyst,Tekfortune Inc,"Austin, CO 81410+1 location",NaN,EmployerActive 2 days ago,Up to $80 an hour,"4+ years of data management experience preferably working with large cross functional, multi-team, data-centric programs.
Excellent verbal and written skills.",/company/TekFortune/jobs/Business-Data-Analyst-0957cf3963c2485b?fccid=00d30695ad228388&vjs=3
166,SQL Developer/Data Analyst,Info Origin Inc.,Remote,NaN,EmployerActive 3 days ago,$30 - $70 an hour,"Data modeling: 5 years (Required).
Commercial Claims: 5 years (Required).
Table structures: 5 years (Required).
Agile methodology: 5 years (Required).",/company/Infoorigin-Inc/jobs/SQL-Developer-Data-Analyst-8467cf1a206be4b8?fccid=75e3336b78771185&vjs=3
167,Salesforce Business Analyst,Agiles Enterprise,Remote,NaN,EmployerActive 3 days ago,"$50,352 - $114,270 a year","Experience working with integration features such as future methods, callouts, batch and scheduled apex, Platform Events, REST and SOAP APIs.",/company/Prescient/jobs/Salesforce-Business-Analyst-bc0be3b01d9fc63b?fccid=bd4258d9070235ed&vjs=3
168,Program Analyst (Data Analytics),US Economic Development Administration,"Washington, DC+1 location",NaN,PostedJust posted,"$112,015 - $172,075 a year",About EDA The U.S. Economic Development Administration's investment policy is designed to establish a foundation for sustainable job growth and the building…,/rc/clk?jk=7e6f592262f85ad0&fccid=a01c74f1f8f6026b&vjs=3
169,Data Analyst,Capgemini,Texas+3 locations,3.7,PostedPosted 7 days ago,NaN,"Job Description Title: Data Analyst Job Type: Onsite, Full-time, Hybrid Model Location: Irving, TX Job Description: Familiar with Banking Products. Good…",/rc/clk?jk=25129df912e4c1b1&fccid=105ecfd0283f415f&vjs=3
170,Data Analyst,Neotecra Inc,"Remote in New York, NY",NaN,EmployerActive 2 days ago,$26.25 - $38.00 an hour,"Description : This position will support the company Clean Energy Jobs Program, which includes following: 1. The use of data and interpreting to develop…","/company/NEOTECRA,-INC./jobs/Data-Analyst-4533463b9c72ef2f?fccid=17b9e6d1cc11a1e3&vjs=3"
171,Data Analyst & Dashboard Developer,Impact Genome,Remote,NaN,PostedPosted 3 days ago,"$80,000 - $90,000 a year","Description: Our Company Impact Genome (IG), and our sector-first Impact Genome Registry (IGR), standardizes and verifies the annual impact of nonprofits,…",/rc/clk?jk=ae018891958392b9&fccid=5d442166ed726247&vjs=3
172,Metaverse Data Analyst,Storylines,Remote,NaN,PostedPosted 9 days ago,NaN,We are looking for a Data Analyst that will analyze blockchain data for the organization they work for to develop relevant investment strategies building our…,/rc/clk?jk=2c9a665885bef537&fccid=51bc64bbba7f8a0e&vjs=3
173,Data Analyst / Bookkeeper,Arsenault Dermatology,Remote,NaN,PostedPosted 1 day ago,$25 - $30 an hour,"Arsenault Dermatology is in an exciting growth phase, expanding our award-winning patient care services across Manatee and Sarasota counties. The Data Analyst …",/company/Dermatology-Specialists/jobs/Data-Analyst-ff497c8f554aeddf?fccid=8b2b342b502729da&vjs=3
174,Data Analyst,KEYENCE,"Hybrid remote in Itasca, IL 60143",3.7,EmployerActive 10 days ago,"$135,000 - $140,000 a year","*Data Analyst* *This position is located at our Headquarters building in Itasca, IL.* Keyence is seeking a Data Analyst with focus on Business Intelligence …",/company/Keyence/jobs/Data-Analyst-eb6a7039cfe223a4?fccid=8d12993b335ad23c&vjs=3
175,IT Business Analyst,KeyBank,Remote,3.5,PostedToday,"$60,000 - $110,000 a year","Location: For Those Who Work At Home - Various, New York 10705 Sr. Business Analyst: Works with a cross-functional team in optimization of application…",/rc/clk?jk=66c3577881eee5b2&fccid=23db8b01ff3384c2&vjs=3
176,Data Analyst (Seattle or US Remote),Remitly,"Remote in Seattle, WA 98101",3.4,PostedPosted 24 days ago,NaN,Remitly is on a mission to transform the lives of immigrants and their families by providing the most trusted financial products and services on the planet.…,/rc/clk?jk=2c2b8b0af62d001d&fccid=76d96f0d43e39574&vjs=3
177,Data Analyst - REQ 617,"Mitsubishi Electric US, Inc.",Remote,3.6,PostedPosted 30+ days ago,"$76,800 - $105,600 a year","Mitsubishi Electric Trane HVAC US LLC is looking for a Data Analyst preferably in Suwanee, GA Position Summary The data analyst is part of a new enterprise…",/rc/clk?jk=eb4c4842b267a29c&fccid=5c9fd319bc2040d1&vjs=3
178,Business Data Analyst,Tekfortune Inc,"Austin, CO 81410+1 location",NaN,EmployerActive 2 days ago,Up to $80 an hour,"*Location : Austin, TX / Bay Area, CA (Only Local) * *Role : Data Management Business Analyst* *Onsite / Remote : Onsite* *Client : Google Inc* …",/company/TekFortune/jobs/Business-Data-Analyst-0957cf3963c2485b?fccid=00d30695ad228388&vjs=3
179,Data Analyst,Rays Technologies,Remote,NaN,EmployerActive 2 days ago,"$90,000 - $110,000 a year","*What You Will Do:* * Use data analytic and statistical modeling techniques for collecting, reviewing, interpreting, evaluating, and integrating data from…",/company/Rays-Technologies/jobs/Data-Analyst-f90d402e2385dba3?fccid=b2c9c4bb0e8511e7&vjs=3
180,Reporting Analyst/ Data Analyst,SWI,"Denver, CO 80206 (Cherry Creek area)",3.9,EmployerActive 3 days ago,$40 - $44 an hour,"*Job Description*: * This Sr Reporting Analyst will have the creative ability to design, implement, and maintain performance and metrics-based reporting and…",/company/swi/jobs/Reporting-Analyst-dd16cb825b4b5489?fccid=fb819c5b748b55f2&vjs=3
181,Business Analyst,EMERGENT METHOD,"Remote in Baton Rouge, LA 70801",3.9,PostedPosted 1 day ago,NaN,"Emergent Talent, a division of Emergent Method, is seeking qualified candidates to fill an analyst position on a large-scale IT system implementation project.…",/rc/clk?jk=497a6a86f77cb11e&fccid=a8a230605c9bab96&vjs=3
182,EOR Data Analyst,Aveanna Healthcare,"Seal Beach, CA 90740",3.3,PostedPosted 2 days ago,$21 - $24 an hour,"Work with a variety of data sources – extract information from massive data sets.
Above average ability to gather data and perform analysis.",/rc/clk?jk=7ad5e8727f017d64&fccid=7d85ee0dc41e8f8d&vjs=3
183,Ecommerce Business Analyst,Old Salt Coffee Company Inc.,Remote,NaN,EmployerActive 4 days ago,$667 - $856 a week,"Ensure that all data analysis is accurate, and all conclusions are supported by data and are communicated effectively.",/company/Old-Salt-Coffee-Company-Inc./jobs/Ecommerce-Business-Analyst-7304a04652ca4a59?fccid=bf54a449f2f9bfb1&vjs=3
184,"Marketing Business Analytics Data Analyst, Marketing",Publix,"Lakeland, FL 33811+1 location",4.0,PostedPosted 1 day ago,"$51,584 - $71,344 a year","Basic skills Tableau or Microstrategy Desktop or similar data visualization tool.
Assisting in the receipt and verification of standard data deliverables…",/rc/clk?jk=394415ea135bae96&fccid=8e5415c099aa948c&vjs=3
185,Data Analyst - Yardi,Link Logistics Real Estate,Remote,3.0,PostedPosted 15 days ago,NaN,"Data Extraction, data ingestion and data analysis.
Ability to maintain and implement data solutions.
Analyzing data to identify patterns or opportunities for…",/rc/clk?jk=4f854bc4fbc9c75c&fccid=8c4936ea25f76a04&vjs=3
186,ERP Business Intelligence Analyst,Open Architects,Remote,NaN,EmployerActive 2 days ago,"$80,000 - $115,000 a year",Experience working with data sets in various conditions/formats and which require building relationships across disparate files to create a comprehensive data…,/company/Open-Architects/jobs/Erp-Business-Intelligence-Analyst-decf34a0a2d2ee46?fccid=79ccc315ff9ec9b0&vjs=3
187,Business Analyst,Visionary Integration Professionals LLC,Remote,4.2,PostedPosted 2 days ago,$90 - $100 an hour,We are seeking an experienced Business Analyst to work with our client to assist the LifeCycle Management team in updating the legacy application portfolio for…,/rc/clk?jk=857cca9b4ce40c20&fccid=518364fda8bd0db5&vjs=3
188,Data Analyst,ClientSolv Technologies,"Littleton, CO 80120+1 location",2.5,PostedPosted 6 days ago,"$125,000 a year",Garner key insights from data and communicate these findings to key stakeholders to help make data-driven decisions.,/rc/clk?jk=434978828f390b6f&fccid=d25525f95db539b9&vjs=3
189,Business Analyst,TIC Security,Remote,NaN,EmployerActive 3 days ago,"$55,000 - $150,000 a year","Support activity and data modeling, development of modern business methods, identification of best practices, and creating and assessing performance…",/company/TIC-Security/jobs/Business-Analyst-fda20dbc9f2fb08c?fccid=ec088c569a1babe6&vjs=3
190,Hydrographic Data Analyst,Bedrock Ocean Exploration,"Remote in New York, NY",NaN,PostedPosted 30+ days ago,NaN,"Experience iterating on data improvements.
Experience preparing data/reports for offshore wind.
Experience in visualization or maps and time series data.",/rc/clk?jk=3f6a207e04135809&fccid=9fa557181f88b8b8&vjs=3
191,Business Analyst,Garni software,Remote,NaN,EmployerActive 2 days ago,Up to $50 an hour,"BA Healthcare: 5 years (Required).
6+ years of Health care Experience is a must.
Should have worked for either healthcare clients or in healthcare projects.",/company/Garni-Software/jobs/Business-Analyst-37d9bab5d3274e4f?fccid=4f14de866462c555&vjs=3
192,Senior Data & Strategy Analyst,Frontier Communications,+1 locationRemote,3.2,PostedPosted 6 days ago,"$80,010 - $133,350 a year","Manipulate large data sets, navigating a variety of servers, data types and data structures.
Experience with, or ability to quickly adapt to data wrangling…",/rc/clk?jk=7ae91cabffce9862&fccid=81d1e68cec787077&vjs=3
193,Data Analyst,Cognowiz solutions LLC,"Herndon, VA 20170",NaN,EmployerActive 3 days ago,NaN,"Job Types: Full-time, Part-time.",/company/COGNWIZ-SOLUTIONS-LLC/jobs/Data-Analyst-d55e2f38bec8ffb1?fccid=0cbcf1b878a99750&vjs=3
194,Paid Bootcamp- STEM Entry Level Data Analyst and Visualization,PCS Global Tech,"Temporarily Remote in Little Rock, AR+2 locations",3.3,EmployerActive 8 days ago,"$60,000 - $70,000 a year","1-3 years of work experience as a data analyst or in a related field is preferred.
Providing technical expertise in data storage structures, data mining, and…",/company/PCS-GLOBAL-TECH/jobs/Paid-Bootcamp-bd14466759e2905e?fccid=252beafbd99a6037&vjs=3
195,Business Data Analyst,"Examworks Group, Inc.","Dallas, TX 75243 (North Dallas area)",2.8,PostedPosted 1 day ago,NaN,"The Business Data Analyst is responsible to provide data quality assessment, data analysis, pattern and trend identification and data visualization.",/rc/clk?jk=05e2a847537eb537&fccid=f49aea44e0d498fa&vjs=3
196,Data Analyst,Valon,"New York, NY",NaN,PostedPosted 30+ days ago,NaN,This data analyst will have ownership over 2-3 product areas and will be the dedicated data resource for that product area.,/rc/clk?jk=8444030dcec53707&fccid=0cc4306bcfe3a086&vjs=3
197,Remote Junior Data Analyst,Utilisave,"Remote in New York, NY 10001",3.2,PostedPosted 30+ days ago,"$40,000 - $45,000 a year","Preferred: 1-2 years of experience in a relevant auditing or analyst role.
This is a business critical hands-on role and the ideal candidate will have a record…",/rc/clk?jk=679c2604e35e3f45&fccid=5dd85e4f1861bacd&vjs=3
198,Data Analyst,Attentive Mobile,"Hybrid remote in San Francisco, CA",3.6,PostedPosted 10 days ago,"$85,200 - $127,000 a year","Our primary data visualization tool is Looker.
Our data backend is based in Java and Python microservices coupled with Spark, Kinesis, AirFlow, Snowflake, and…",/rc/clk?jk=c350edef327bb8ab&fccid=6bab5fc4ce26f101&vjs=3
199,Business Analyst,Changeis,"Remote in Cambridge, MA",4.9,PostedPosted 30+ days ago,NaN,"Validating data and document and report discrepancies.
Effectively documenting the acquired results of analysis and workflows, with an emphasis on data…",/rc/clk?jk=b3215d66b16117e3&fccid=c447893190c55eef&vjs=3
200,Data Analyst,Optimal Inc.,"Dearborn, MI 48120",NaN,EmployerActive 15 days ago,NaN,"1-5 years' experience in a data related role including experience with query, reporting, and analytical tools.
Experience in scripting with SQL.",/rc/clk?jk=5954ab5642ae42c4&fccid=f7abc437a220ba9e&vjs=3
201,Data Analyst - Informatica DEQ on AWS,Simplex Info Systems,"Chicago, IL 60631 (Edison Park area)",NaN,EmployerActive 5 days ago,"$84,068 - $172,027 a year","Technical Skills: Experience on Informatica DEQ or IDQ.
Experience on AWS core services like S3, EC2, IAM, EMR and Redshift.
Experience on Terraform is a plus.",/company/Simplex-Info/jobs/Data-Analyst-875e3cb91611ffe8?fccid=85711c8a5747cc35&vjs=3
202,Data Analyst,Crumbl Cookies,"Lindon, UT 84042+1 location",4.6,PostedPosted 30+ days ago,NaN,"Collaborate and knowledge share with other analysts to.
Supports their assigned department to accomplish their OKRs through data requests, data visualization,…",/rc/clk?jk=ac1ee9d2a332250d&fccid=81446d1ef932a644&vjs=3
203,Business Analyst,IT Heroes,Remote,NaN,EmployerActive 2 days ago,$40.00 - $70.57 an hour,"Sr. Business Analyst will be responsible for developing business cases, defining high level business objectives and developing key success factors for solution…",/company/IT-HEROES/jobs/Business-Analyst-e89a783722748a4d?fccid=f6acd9998fd6f625&vjs=3
204,Business Systems Analyst,amazech solutions,Remote,NaN,EmployerActive 2 days ago,$65 - $75 an hour,"Analyze data using SQL and Excel for reporting: 3 years (Preferred).
Ability to analyze data using SQL and Excel for reporting and data mining purposes.",/company/Amazech-Solutions/jobs/Business-System-Analyst-a70b22ee511a0609?fccid=76c6a53cc9ecb45f&vjs=3
205,Enterprise Data Analyst,Apptrics LLC,"Denver, CO 80204 (Sun Valley area)+1 location",NaN,PostedPosted 30+ days ago,$55 - $60 an hour,"5 years Microsoft Excel experience.
Microsoft Excel: 5 years (Required).
Microsoft Power BI: 5 years (Required).
2 years Microsoft Power BI experience.",/company/Apptrics-LLC/jobs/Enterprise-Data-Analyst-c2ee689a54f4d1ce?fccid=b5162b6b121c7290&vjs=3
206,Business Analyst,BCVS group inc.,"California, KY 41007+1 location",NaN,EmployerActive 2 days ago,"$60,315 - $110,758 a year","5)Be able to multi-task and detail oriented.
3)Monitors projects against defined plans and maintains key performance indicators.",/company/BCVS-group-inc./jobs/Business-Analyst-e4208f36922a2e83?fccid=997218a2e93e55a1&vjs=3
207,Data Analyst (contract),Wells Fargo,"Charlotte, NC+13 locations",3.7,PostedPosted 30+ days ago,NaN,"Developing customized reports, ad hoc analyses, or data visualizations to make recommendations.
Reconciling various types of data sets, EG, invoices, validation…",/rc/clk?jk=8e754cd2499cfd23&fccid=78bbcd26e39621f5&vjs=3
208,Data Analyst I - Human Cell Types,Allen Institute,"Hybrid remote in Seattle, WA 98109",3.5,PostedPosted 6 days ago,"$57,219 - $80,107 a year","Knowledge of single-cell biological data.
Organize and analyze data to facilitate biological discovery.
Experience analyzing and visualizing genomics data in R…",/rc/clk?jk=b94a049568e287f3&fccid=6b1f64ade51f4574&vjs=3
